product_id,product_name,price,cogs,category_id
101,Product_101,4975,4137.7,4
102,Product_102,606,510.06,7
103,Product_103,4760,3810.21,1
104,Product_104,3633,1999.93,5
105,Product_105,4876,2964.46,2
106,Product_106,1044,734.52,3
107,Product_107,3250,1735.83,4
108,Product_108,4823,2512.11,2
109,Product_109,4266,3148.91,4
110,Product_110,2773,1838.39,7
111,Product_111,3162,1912.75,8
112,Product_112,2199,1162.5,3
113,Product_113,4502,3031.15,5
114,Product_114,3876,2328.62,6
115,Product_115,1167,792.6,2
116,Product_116,3002,1660.69,3
117,Product_117,3654,1877.14,8
118,Product_118,4771,3342.37,2
119,Product_119,2986,2219.65,6
120,Product_120,4950,3855.62,8
121,Product_121,966,802.4,2
122,Product_122,732,381.54,8
123,Product_123,4934,4181.98,5
124,Product_124,2531,1900.32,8
125,Product_125,384,318.42,6
126,Product_126,1576,1124.98,6
127,Product_127,682,393.09,8
128,Product_128,1259,954.86,5
129,Product_129,3402,2792.65,7
130,Product_130,860,480.08,8
